experiment_id,distance,eta,seed,gate_family,alpha_g,r_g,chi_temp,contribution,eta_eff,interval_low,interval_high
exp_gate_class_convexity_ablation,3,20,89,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,11,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,29,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,47,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,71,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,89,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,11,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,29,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,47,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,71,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,89,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,50,11,cnot,0.2549545522276858,40.2542372881356,0.79,10.88225,36.735,27.650000000000002,41.475
exp_gate_class_convexity_ablation,3,50,29,cnot,0.2549545522276858,40.2542372881356,0.79,10.88225,36.735,27.650000000000002,41.475
exp_gate_class_convexity_ablation,3,50,47,cnot,0.2549545522276858,40.2542372881356,0.79,10.88225,36.735,27.650000000000002,41.475
exp_gate_class_convexity_ablation,3,50,71,cnot,0.2549545522276858,40.2542372881356,0.79,10.88225,36.735,27.650000000000002,41.475
